Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
18-12-14_04,0.0,1036.0,-9.0,-8.4,-5.3,-7.0,79.0,79.0,3.0
18-12-14_05,0.0,1037.0,-8.0,-7.5,-4.8,-7.0,81.0,92.0,4.0
18-12-14_06,0.0,1036.0,-6.0,-6.6,-3.5,-4.0,79.0,86.0,2.0
18-12-14_07,0.0,1033.0,-7.0,-6.9,-3.8,-5.0,79.0,173.0,2.0
18-12-14_08,0.0,1036.0,-5.0,-5.3,-2.5,-3.0,81.0,132.0,1.0
18-12-14_09,0.0,1015.0,-2.0,-3.3,-0.1,-1.0,79.0,102.0,3.0
18-12-14_10,0.0,1038.0,-1.0,-2.5,1.1,1.1,77.0,138.0,5.0
18-12-14_11,0.0,1036.0,0.0,-1.8,2.0,2.0,76.0,173.0,6.0
18-12-14_12,0.0,1034.0,1.0,-1.4,2.6,2.6,75.0,128.0,9.0
18-12-14_13,0.0,1033.0,2.0,-0.8,3.4,3.4,74.0,130.0,9.0
18-12-14_14,0.07,1032.0,2.0,0.2,3.5,3.5,79.0,183.0,6.0
18-12-14_15,1.14,1032.0,2.0,1.0,3.6,3.6,83.0,191.0,4.0
18-12-14_16,0.62,1032.0,2.0,1.1,3.4,3.4,85.0,184.0,6.0
18-12-14_17,1.29,1032.0,2.0,1.8,3.6,3.6,88.0,202.0,6.0
18-12-14_18,1.32,1031.0,2.0,2.0,3.6,3.6,89.0,196.0,6.0
18-12-14_19,1.7,1031.0,3.0,2.2,3.8,3.8,89.0,207.0,7.0
18-12-14_20,1.19,1031.0,3.0,2.3,3.8,3.8,90.0,186.0,6.0
18-12-14_21,0.27,1029.0,2.0,2.3,3.6,3.6,91.0,201.0,6.0
18-12-14_22,0.27,1028.0,2.0,2.3,3.6,3.6,91.0,215.0,9.0
18-12-14_23,0.2,1028.0,4.0,3.5,5.0,5.0,90.0,209.0,8.0
18-12-15_00,0.0,1028.0,4.0,3.0,4.8,4.8,88.0,242.0,9.0
18-12-15_01,0.0,1028.0,3.0,2.4,4.2,4.2,88.0,266.0,14.0
18-12-15_02,0.0,1029.0,3.0,1.9,3.9,3.9,87.0,276.0,17.0
18-12-15_03,0.0,1029.0,3.0,0.8,3.7,3.7,81.0,280.0,19.0
18-12-15_04,0.0,1030.0,2.0,-0.0,3.6,3.6,77.0,270.0,18.0
18-12-15_05,0.0,1030.0,3.0,0.4,3.7,3.7,79.0,258.0,12.0
18-12-15_06,0.0,1032.0,3.0,0.7,3.8,3.8,80.0,253.0,10.0
18-12-15_07,0.0,1032.0,3.0,0.6,3.9,3.9,79.0,241.0,9.0
18-12-15_08,0.0,1033.0,3.0,0.6,3.9,3.9,79.0,243.0,10.0
18-12-15_09,0.0,1034.0,3.0,0.7,3.8,3.8,80.0,243.0,9.0
18-12-15_10,0.0,1034.0,3.0,0.5,4.3,4.3,76.0,239.0,9.0
18-12-15_11,0.0,1034.0,4.0,0.1,4.7,4.7,72.0,260.0,11.0
18-12-15_12,0.0,1034.0,4.0,-0.3,4.9,4.9,69.0,284.0,11.0
18-12-15_13,0.0,1034.0,5.0,-0.9,5.3,5.3,64.0,283.0,10.0
18-12-15_14,0.0,1035.0,6.0,-2.1,6.0,6.0,56.0,282.0,10.0
18-12-15_15,0.0,1035.0,5.0,-2.5,5.6,5.6,56.0,279.0,5.0
18-12-15_16,0.0,1036.0,5.0,-2.2,5.4,5.4,58.0,280.0,6.0
18-12-15_17,0.0,1036.0,5.0,-1.3,5.2,5.2,63.0,277.0,5.0
18-12-15_18,0.0,1037.0,4.0,-1.7,5.0,5.0,62.0,288.0,5.0
18-12-15_19,0.0,1037.0,4.0,-1.6,5.1,5.1,62.0,280.0,4.0
18-12-15_20,0.0,1037.0,4.0,-0.9,4.9,4.9,66.0,294.0,4.0
18-12-15_21,0.0,1037.0,3.0,-0.3,4.3,4.3,72.0,101.0,4.0
18-12-15_22,0.0,1037.0,3.0,-0.8,3.8,3.8,72.0,150.0,4.0
18-12-15_23,0.0,1037.0,2.0,-1.5,3.2,3.2,71.0,147.0,5.0
18-12-16_00,0.0,1036.0,1.0,-1.6,2.6,2.6,74.0,74.0,6.0
18-12-16_01,0.0,1035.0,147.0,50.9,56.8,56.8,75.0,85.0,6.0
18-12-16_02,0.0,1037.0,-0.0,-2.4,1.4,1.4,76.0,60.0,7.0
