,Prov,Nom de station,stnid,année déb.,mois déb.,année fin.,mois fin.,lat (deg),long (deg),élév (m),stns jointes,Tmax,Tmax90p,Tmin,Tmin10p,DG0
0,BC,AGASSIZ,1100120,1893,1,2017,12,49.25,-121.77,15,N,,,,,
1,BC,ATLIN,1200560,1905,8,2017,12,59.57,-133.7,674,N,5.630427007323309,18.903333333333332,-3.4605202598480194,-19.235,860.0833333333334
2,BC,BARKERVILLE,1090660,1888,2,2015,3,53.07,-121.52,1265,N,,,,,
3,BC,BEAVERDELL,1130771,1939,1,2006,9,49.48,-119.05,838,Y,12.628016976304444,23.641666666666662,4.0174785854163995,-3.646,1798.0933333336666
4,BC,BLIND CHANNEL,1021480,1958,7,2016,2,50.42,-125.5,23,N,12.15561571337812,20.200666666666667,6.7768927003681965,1.0946666666666665,2518.6800000000003
5,BC,BLUE RIVER,1160899,1946,9,2017,12,52.13,-119.28,683,Y,10.440753999707484,25.99166666666667,-1.1250141371004092,-12.582333333333336,987.3633333333332
6,BC,CAPE SCOTT,1031353,1921,7,2016,6,50.78,-128.43,72,Y,,,,,
7,BC,CAPE ST JAMES,1051351,1944,12,2017,12,51.93,-131.02,89,Y,,,,,
8,BC,CARIBOO LODGE,1171393,1914,1,2015,6,52.72,-119.47,1096,Y,,,,,
9,BC,COMOX,1021830,1935,11,2017,12,49.72,-124.9,26,Y,13.73761324450433,23.102333333333338,6.4248504878109625,-0.526,2444.393333333333
10,BC,CRANBROOK,1152105,1901,1,2017,12,49.62,-115.78,940,Y,11.960029394925758,27.320333333333334,0.4038360567994523,-11.355333333333334,1383.2599999999995
11,BC,CRESTON,1142160,1912,6,2015,6,49.1,-116.52,597,N,,,,,
12,BC,DARFIELD,1162265,1913,12,2017,11,51.3,-120.18,412,Y,12.890234190845543,27.69166666666667,1.8237293299431268,-8.123333333333335,1525.7133333333334
13,BC,DAWSON CREEK,1182289,1952,9,2017,12,55.75,-120.18,655,Y,8.238655807595983,23.500666666666667,-4.396880546846629,-22.557999999999996,984.35666666708
14,BC,DEASE LAKE,1192341,1944,9,2017,12,58.42,-130.0,807,Y,5.288416053408487,19.868666666666673,-6.06857964260725,-22.478,602.0333333337334
15,BC,ESTEVAN POINT,1032730,1923,10,2017,12,49.38,-126.55,7,N,,,,,
16,BC,FAUQUIER,1142820,1913,2,2015,6,49.87,-118.07,490,N,,,,,
17,BC,FORT NELSON,1192946,1937,9,2017,12,58.83,-122.6,382,Y,5.2766175066294085,23.969,-5.660010626933262,-24.923999999999996,1124.6466666666665
18,BC,FORT ST JAMES,1092970,1895,1,2017,12,54.45,-124.25,686,N,8.993987030989864,22.328333333333333,-1.9410717934420334,-15.426666666666666,1010.2900000000001
19,BC,FORT ST JOHN,1183001,1939,1,2017,12,56.23,-120.73,695,Y,7.160339097237817,22.532666666666668,-2.206303790203857,-19.855333333333338,1298.4133333333334
20,BC,GERMANSEN,1183090,1951,8,2013,11,55.78,-124.7,766,N,7.211516312691476,21.891000000000005,-4.251207723617641,-19.456999999999997,753.6966666666666
21,BC,GLACIER,1173191,1908,1,2014,7,51.3,-117.52,1323,Y,6.258868291336578,21.106666666666666,-2.3191711902609025,-12.903333333333334,642.41
22,BC,GOLDEN,1173210,1902,4,2017,12,51.3,-116.98,785,N,10.784910162345845,25.71066666666667,-0.5707798977624041,-12.685333333333334,1176.1699999999998
23,BC,KAMLOOPS,1163781,1890,1,2017,12,50.7,-120.45,345,Y,14.867875090450882,29.522,3.957843526212042,-6.456,2080.3866666666663
24,BC,KASLO,1143900,1912,3,2017,12,49.92,-116.92,591,N,,,,,
25,BC,KELOWNA,1123993,1899,3,2014,4,49.87,-119.48,430,Y,14.479752014737086,28.82066666666667,2.71286575844712,-6.279333333333332,1631.5500000006666
26,BC,LANGARA,1054500,1936,7,2017,12,54.25,-133.05,41,N,10.066540111433742,15.446000000000003,5.74340133605726,0.7556666666666666,2144.9699999999993
